id,num1,num2,num3,num4,num5,solution
253,3,5,7,1,4,((4*(3+5))-(7+1)) = 24
254,5,6,6,1,5,((5*(6+1))-(5+6)) = 24
255,1,4,5,7,7,((5+7)+(7+(1+4))) = 24
256,4,5,4,10,2,((2*(4+5))-(4-10)) = 24
257,10,4,3,5,6,((10+4)+(6/(3/5))) = 24
258,3,8,1,7,8,((1+7)*((3+8)-8)) = 24
259,1,10,8,1,9,((8-(1+10))*(1-9)) = 24
260,1,3,2,3,7,((1+3)*(7+(2-3))) = 24
261,1,2,7,7,7,((7+7)+(7+(1+2))) = 24
262,8,6,1,5,9,((5*((8+6)-9))-1) = 24
263,2,6,8,1,7,((8+1)+(7+(2+6))) = 24
264,6,6,8,1,10,((6+6)*(10-(8*1))) = 24
265,3,8,10,5,5,((10-(3+8))+(5*5)) = 24
266,4,6,1,4,4,((1*4)*((4+6)-4)) = 24
267,6,1,9,5,1,((9-5)*((6+1)-1)) = 24
268,5,3,6,6,9,((5+3)*((6+6)-9)) = 24
269,6,1,6,1,7,((6*(6-1))+(1-7)) = 24
270,3,3,4,10,10,((3+3)*((4+10)-10)) = 24
271,5,4,4,3,4,((4*(5+4))-(4*3)) = 24
272,3,7,2,1,6,(((3+7)*(2+1))-6) = 24
273,9,6,8,6,3,((8-6)*((9+6)-3)) = 24
274,4,9,8,3,8,((8+3)+(8-(4-9))) = 24
275,9,2,4,2,9,((4*2)+(9+(9-2))) = 24
276,5,4,5,9,7,((5-9)*((5-4)-7)) = 24
277,9,10,8,9,5,((9+10)-(5*(8-9))) = 24
278,6,7,4,5,8,((4*8)+(5-(6+7))) = 24
279,5,3,7,10,8,((10*(5+3))-(7*8)) = 24
280,2,4,2,9,1,((2*9)+(1*(2+4))) = 24
281,5,1,9,3,10,((9-3)*(10-(5+1))) = 24
282,4,5,5,8,8,((8*(4+5))/(8-5)) = 24
283,4,8,6,7,8,((6+8)/(7/(4+8))) = 24
284,5,3,2,6,3,((3*(2+(5+3)))-6) = 24
285,1,3,8,3,3,((8*3)*((1+3)-3)) = 24
286,10,10,7,10,1,((1+(10+10))-(7-10)) = 24
287,5,2,3,3,7,((5+2)*(3+(3/7))) = 24
288,10,9,1,1,6,((6+(10+9))-(1*1)) = 24
289,1,5,9,10,7,((1-5)*((10-9)-7)) = 24
290,8,1,1,4,6,(6*((8+1)-(1+4))) = 24
291,2,5,4,2,6,((4+6)+(2*(2+5))) = 24
292,1,7,9,6,6,((1+7)*(6-(9-6))) = 24
293,6,10,8,4,3,((3*(6+10))/(8/4)) = 24
294,9,10,6,6,8,(6/((10-9)-(6/8))) = 24
295,3,1,9,5,5,((9-5)+(5*(3+1))) = 24
296,6,4,5,3,8,((5+3)+(8*(6-4))) = 24
297,9,9,5,10,2,((5+10)+((9+9)/2)) = 24
298,4,8,4,8,1,((4+8)+(1*(4+8))) = 24
299,6,5,5,5,9,((5-9)*(5-(6+5))) = 24
300,6,6,8,10,6,((8+10)-(6-(6+6))) = 24
301,3,7,3,10,7,((7+(3+7))-(3-10)) = 24
302,2,2,1,7,6,(6*((1+7)-(2+2))) = 24
303,1,4,5,9,6,((1-4)*(6-(5+9))) = 24
304,4,5,1,5,4,((4+5)-(5*(1-4))) = 24
305,10,10,8,3,5,((8-(10+10))*(3-5)) = 24
306,3,8,3,3,7,((3+3)+(7+(3+8))) = 24
307,3,5,4,7,6,((3+5)*(6+(4-7))) = 24
308,7,3,8,1,3,((8/3)*((7+3)-1)) = 24
309,6,6,3,9,4,(4*((6+6)+(3-9))) = 24
310,7,7,8,2,8,((8/2)*((7+7)-8)) = 24
311,1,6,6,1,5,((6*5)+(1-(1+6))) = 24
312,10,1,1,10,6,((6+(10-1))-(1-10)) = 24
313,6,7,8,9,9,((7*9)+(9-(6*8))) = 24
314,5,7,10,5,1,((10/5)*(1*(5+7))) = 24
315,3,4,4,2,6,((4+6)+(2*(3+4))) = 24
316,8,9,8,3,9,(3/((8-9)+(9/8))) = 24
317,3,6,1,8,5,(8*((3+6)-(1+5))) = 24
318,4,8,4,1,4,((4-1)*((4+8)-4)) = 24
319,4,3,9,5,1,((9-5)*((4+3)-1)) = 24
320,8,2,1,6,9,((9+(8+2))-(1-6)) = 24
321,1,2,7,7,9,((1+2)*(9-(7/7))) = 24
322,10,3,4,10,6,(10-((10-3)*(4-6))) = 24
323,5,9,6,9,7,((7+(5+9))-(6-9)) = 24
324,3,8,7,5,6,((7*5)-(6-(3-8))) = 24
325,3,10,5,2,9,((5*(10-3))-(2+9)) = 24
326,3,6,7,3,4,((3*(7+4))-(3+6)) = 24
327,10,6,3,6,6,((3+6)/(6/(10+6))) = 24
328,9,8,4,8,8,(8*((8-4)-(9-8))) = 24
329,4,6,7,1,2,((4+6)+(2*(7*1))) = 24
330,7,6,4,6,4,((4*((7+6)-6))-4) = 24
331,5,2,4,10,3,((4+10)+(3+(5+2))) = 24
332,5,6,7,5,9,((7+5)*((5+6)-9)) = 24
333,4,9,2,5,1,((2*5)+(1+(4+9))) = 24
334,2,3,1,7,7,(7*((2+1)+(3/7))) = 24
335,10,1,1,10,2,((1+10)+(2+(10+1))) = 24
336,10,7,8,8,3,((8/3)*((10+7)-8)) = 24
337,9,9,3,5,6,((3+5)/(6/(9+9))) = 24
338,8,2,1,5,2,((2*(8+2))-(1-5)) = 24
339,9,10,3,6,10,((9+10)+(10*(3/6))) = 24
340,10,4,5,8,5,((5+8)+(5+(10-4))) = 24
341,4,7,3,9,9,((3+9)*((4+7)-9)) = 24
342,7,3,9,9,10,((9+9)+(10-(7-3))) = 24
343,9,7,6,9,4,((9-6)*(4*(9-7))) = 24
344,1,3,4,4,8,((8*(1+3))-(4+4)) = 24
345,2,4,6,3,1,((2+4)*(1+(6-3))) = 24
346,6,3,7,9,1,((7+9)-(1-(6+3))) = 24
347,7,3,10,6,2,((10+6)-(2-(7+3))) = 24
348,5,4,1,8,7,((1*8)+(7+(5+4))) = 24
349,6,5,2,1,1,((2*1)*(1+(6+5))) = 24
350,3,8,6,3,7,((6/3)*(7-(3-8))) = 24
351,2,8,4,1,8,(8*((1-4)-(2-8))) = 24
352,8,1,8,10,4,(8*((8+1)-(10-4))) = 24
353,4,3,2,2,6,(6+(2*(2+(4+3)))) = 24
354,2,10,3,10,2,((3*10)-((2+10)/2)) = 24
355,2,4,5,9,5,((5+9)-(5*(2-4))) = 24
356,3,9,7,9,1,((9-7)*(1*(3+9))) = 24
357,6,9,6,3,7,((6-3)*((6+9)-7)) = 24
358,3,6,8,9,8,((8-9)*(8*(3-6))) = 24
359,9,2,4,7,4,((9-2)*(4-(4/7))) = 24
360,8,2,4,8,8,((4+8)*((8+2)-8)) = 24
361,10,7,4,9,9,(9-((10-7)*(4-9))) = 24
362,7,1,10,10,8,(10+((7*1)*(10-8))) = 24
363,4,2,6,4,1,((6*(4+1))-(4+2)) = 24
364,4,1,9,3,6,((6*(4+1))-(9-3)) = 24
365,5,6,10,9,9,((9+(9*(5+10)))/6) = 24
366,5,10,4,7,2,((4+7)-(2-(5+10))) = 24
367,8,5,6,10,7,((7+(8+5))-(6-10)) = 24
368,8,10,10,4,8,((10+4)-(8-(8+10))) = 24
369,1,4,3,7,6,((7+(1+4))/(3/6)) = 24
370,2,4,8,6,5,((2+4)+(6*(8-5))) = 24
371,1,7,5,4,2,((1+7)*(2+(5-4))) = 24
372,3,2,10,10,1,((10+10)-(1-(3+2))) = 24
373,2,5,7,2,1,(((7*(2+5))-1)/2) = 24
374,6,3,8,1,3,((8*1)/(3/(6+3))) = 24
375,9,10,9,6,3,((9+10)+((9+6)/3)) = 24
376,9,5,5,4,9,((5-4)+(9+(9+5))) = 24
377,5,4,2,4,9,((2+4)+(9+(5+4))) = 24
378,3,9,8,1,1,((8*(9-3))/(1+1)) = 24
379,3,8,3,4,3,((3*3)+(4+(3+8))) = 24
380,5,3,4,1,6,((5+3)*(6-(4-1))) = 24
381,6,7,1,5,1,((1-5)/(1-(7/6))) = 24
382,10,7,7,3,2,((2*(10+7))-(7+3)) = 24
383,7,1,10,8,4,((10-8)*(4+(7+1))) = 24
384,2,3,4,8,10,((4+8)*(10/(2+3))) = 24
385,1,9,5,10,1,((5+10)-(1-(1+9))) = 24
386,4,9,6,2,5,((6/2)*((4+9)-5)) = 24
387,9,7,3,8,1,(((9+7)*(3-1))-8) = 24
388,9,3,5,8,10,(8*((5+10)-(9+3))) = 24
389,3,4,3,1,2,((3*(3+4))+(1+2)) = 24
390,8,2,2,1,4,(4+((8+2)*(2*1))) = 24
391,9,2,8,5,6,(6*((9-2)-(8-5))) = 24
392,9,6,6,2,4,(((9+6)*(4-2))-6) = 24
393,4,7,5,6,10,(6*((5+10)-(4+7))) = 24
394,9,1,7,4,4,(((9+1)-7)*(4+4)) = 24
395,6,3,5,1,9,((5+1)+(9+(6+3))) = 24
396,9,2,9,2,2,((9+2)+(2+(9+2))) = 24
397,4,1,7,9,9,((9-7)*(9+(4-1))) = 24
398,2,9,3,2,3,(2*((2+9)+(3/3))) = 24
399,6,3,8,4,7,((8+4)*((6+3)-7)) = 24
400,8,3,8,3,7,((7*(8-3))-(8+3)) = 24
401,9,4,7,7,9,((9-7)*(7+(9-4))) = 24
402,4,6,10,6,3,((4+6)*(3-(6/10))) = 24
403,10,5,3,8,1,((10+5)/(1-(3/8))) = 24
404,6,9,2,6,3,((2*6)-(3-(6+9))) = 24
405,2,3,1,2,4,(4*((2+3)-(1-2))) = 24
406,1,9,8,3,3,((8+3)+(3+(1+9))) = 24
407,8,1,6,7,3,(3*((8+1)+(6-7))) = 24
408,3,3,3,2,4,((3-2)*(4*(3+3))) = 24
409,1,7,1,4,9,((9*(1+7))/(4-1)) = 24
410,1,2,1,3,6,((1+2)*(6-(1-3))) = 24
411,1,8,4,4,5,(4*((4-5)-(1-8))) = 24
412,1,2,2,4,6,((2+4)+(6*(1+2))) = 24
413,1,4,5,5,6,((5*5)-(6-(1+4))) = 24
414,10,8,7,5,2,((2*(10+8))-(7+5)) = 24
415,3,2,7,5,10,((7+5)*(10/(3+2))) = 24
416,10,9,10,7,3,((10*3)-(7-(10-9))) = 24
417,8,3,3,4,2,(2*((8+3)-(3-4))) = 24
418,10,10,6,9,10,((6*9)-(10+(10+10))) = 24
419,3,3,6,5,1,((6*5)-(1*(3+3))) = 24
420,2,5,1,5,1,((1-5)*(1-(2+5))) = 24
421,2,8,5,9,7,(9-(5*(7-(2+8)))) = 24
422,10,7,6,10,2,((10+(10+7))-(6/2)) = 24
423,6,8,6,10,5,((6-5)*(10+(6+8))) = 24
424,7,6,8,9,8,((8*((7+6)-9))-8) = 24
425,8,6,2,2,10,((2-2)+(10+(8+6))) = 24
426,5,5,8,9,2,((2*(8+9))-(5+5)) = 24
427,2,2,9,4,2,((4*(9-2))-(2+2)) = 24
428,7,4,2,10,2,(2*((2*(7+4))-10)) = 24
429,9,10,6,1,9,(6+(9*(1-(9-10)))) = 24
430,5,3,5,9,10,((10*(5-3))-(5-9)) = 24
431,9,10,1,4,1,((1+4)+(1*(9+10))) = 24
432,7,5,6,4,6,((7+5)+(6*(6-4))) = 24
433,3,6,5,9,5,((5*5)-(9/(3+6))) = 24
434,4,2,1,5,1,((5-1)*(1*(4+2))) = 24
435,7,4,1,4,3,((1-4)*(3-(7+4))) = 24
436,6,6,5,1,7,((5*1)+(7+(6+6))) = 24
437,2,3,3,10,5,((3*10)-(5-(2-3))) = 24
438,6,6,6,6,1,((6+6)+(1*(6+6))) = 24
439,8,3,9,7,4,((7*(9-4))-(8+3)) = 24
440,8,5,9,5,10,((9+(8+5))+(10/5)) = 24
441,6,6,2,10,9,((2-10)*(9-(6+6))) = 24
442,1,3,10,1,4,((1+3)*((10*1)-4)) = 24
443,6,3,3,10,3,((3*10)+(3-(6+3))) = 24
444,3,2,8,10,8,(8*((3+2)+(8-10))) = 24
445,6,5,3,1,5,((3+1)*((6+5)-5)) = 24
446,5,5,1,8,2,((5+5)-(2*(1-8))) = 24
447,9,5,3,5,4,(4*((9+5)-(3+5))) = 24
448,6,8,9,10,3,((9-3)*((6+8)-10)) = 24
449,10,3,8,8,8,(8*((8+8)-(10+3))) = 24
